STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County,
"WALGREEN 07622",-77.953522,35.37159,"2606 E Ash St","","Goldsboro","NC","27534","4515","WAYNE" 
"WALGREEN 07549",-78.561981,35.798344,"4408 New Bern Ave","","Raleigh","NC","27610","1444","WAKE" 
"FOOD LION 2113",-79.353745,36.112698,"1125 Roxboro St","","Haw River","NC","27258","9674","ALAMANCE" 
"DOLLAR GENERAL 6568",-81.306526,35.818123,"9312 NC Highway 127","","Hickory","NC","28601","8393","CATAWBA" 
"DOLLAR GENERAL 3338",-79.693054,36.340385,"1544 Freeway Dr","","Reidsville","NC","27320","7149","ROCKINGHAM" 
"FAMILY DOLLAR STORE 4761",-80.738052,35.203114,"6327 Albemarle Rd","","Charlotte","NC","28212","3813","MECKLENBURG" 
"FAMILY DOLLAR STORE 5851",-80.800804,35.29937,"2716 W Sugar Creek Rd","","Charlotte","NC","28262","7305","MECKLENBURG" 
"DOLLAR GENERAL 1803",-81.195786,35.562778,"514 Island Ford Rd","","Maiden","NC","28650","","CATAWBA" 
"FAMILY DOLLAR STORE 1933",-80.85907,35.305008,"4005 SUNSET RD","","CHARLOTTE","NC","28216","7618","MECKLENBURG" 
"FAMILY DOLLAR STORE 5446",-80.882996,35.216366,"1560A West Blvd","","Charlotte","NC","28208","7020","MECKLENBURG" 
"FAMILY DOLLAR STORE 6403",-80.875977,35.175484,"4736 South Blvd","","Charlotte","NC","28217","2151","MECKLENBURG" 
"FAMILY DOLLAR STORE 2",-80.896515,35.224606,"3400 Wilkinson Blvd","","Charlotte","NC","28208","5634","MECKLENBURG" 
"FAMILY DOLLAR STORE 30",-80.830116,35.246998,"2022 N Graham St","","Charlotte","NC","28206","3029","MECKLENBURG" 
"FAMILY DOLLAR STORE 38",-80.858437,35.240643,"1720 W Trade St","","Charlotte","NC","28216","5550","MECKLENBURG" 
"FAMILY DOLLAR STORE 2093",-80.749924,35.249416,"6212 The Plaza","","Charlotte","NC","28215","2610","MECKLENBURG" 
"FAMILY DOLLAR STORE 2817",-80.768341,35.213493,"4455 Central Ave","","Charlotte","NC","28205","5701","MECKLENBURG" 
"FAMILY DOLLAR STORE 2972",-80.879417,35.235237,"2400 Freedom Dr","","Charlotte","NC","28208","4045","MECKLENBURG" 
"FAMILY DOLLAR STORE 3737",-80.725647,35.224377,"7006 E WT Harris Blvd","","Charlotte","NC","28215","4138","MECKLENBURG" 
"Family Dollar 4231",-80.743546,35.229225,"5240 N Sharon Amity Rd","","Charlotte","NC","28215","0053","MECKLENBURG" 
"FAMILY DOLLAR STORE 829",-80.894379,35.135033,"201 W Arrowood Rd","Ste G","Charlotte","NC","28217","5000","MECKLENBURG" 
"FAMILY DOLLAR STORE 64",-80.791077,35.258354,"4500 N TRYON ST","","CHARLOTTE","NC","28213","6925","MECKLENBURG" 
"FAMILY DOLLAR STORE 5424",-80.775269,35.260826,"5430 N TRYON ST","","CHARLOTTE","NC","28213","7118","MECKLENBURG" 
"ALDI 74",-82.511673,35.577232,"480 Swannanoa River Rd","","Asheville","NC","28805","2337","BUNCOMBE" 
"CHRIS'S GROCERY",-76.322906,35.42395,"13221 US Highway 264","","Swanquarter","NC","27885","9776","HYDE" 
"SPRINGFIELD CONVENIENCE STORE",-79.53817,34.778614,"10681 Gibson Rd","","Laurel Hill","NC","28351","9341","SCOTLAND" 
"Walgreens 06690",-80.315178,36.155766,"3634 Reynolda Rd","","Winston Salem","NC","27106","2230","FORSYTH" 
"Walgreens 7096",-79.415657,35.153961,"1706 N Sandhills Blvd","","Aberdeen","NC","28315","2338","MOORE" 
"WALGREEN 07823",-82.524071,35.503342,"1835 Hendersonville Rd","","Asheville","NC","28803","3204","BUNCOMBE" 
"Walgreen 07153",-78.965134,34.98632,"2960 Hope Mills Rd","","Fayetteville","NC","28306","8348","CUMBERLAND" 
"Walgreen 07170",-78.772896,35.592869,"1401 N Main St","","Fuquay Varina","NC","27526","9024","WAKE" 
